"ID";"Código";"Descrição";"Unidade";"NCM";"Origem";"Preço";"Valor IPI fixo";"Observações";"Situação";"Estoque";"Preço de custo";"Cód no fornecedor";"Fornecedor";"Localização";"Estoque maximo";"Estoque minimo";"Peso líquido (Kg)";"Peso bruto (Kg)";"GTIN/EAN";"GTIN/EAN da embalagem";"Largura do Produto";"Altura do Produto";"Profundidade do produto";"Data Validade";"Descrição do Produto no Fornecedor";"Descrição Complementar";"Unidade por Caixa";"Produto Variação";"Tipo Produção";"Classe de enquadramento do IPI";"Código da lista de serviços";"Tipo do item";"Grupo de Tags/Tags";"Tributos";"Código Pai";"Código Integração";"Grupo de produtos";"Marca";"CEST";"Volumes";"Descrição Curta";"Cross-Docking";"URL Imagens Externas";"Link Externo";"Meses Garantia no Fornecedor";"Clonar dados do pai";"Condição do produto";"Frete Grátis";"Número FCI";"Vídeo";"Departamento";"Unidade de medida";"Preço de compra";"Valor base ICMS ST para retenção";"Valor ICMS ST para retenção";"Valor ICMS próprio do substituto";"Categoria do produto";"Informações Adicionais"
"15887545535";"LADYLU-P66-CAVEIRA	";"Pulseira Feminina e Masculina Caveira 66MM LadyLu";"UN";"7117";"0";"26,64";"0,00";"";"Ativo";"0,00";"26,64";"	";"";"";"0,00";"0,00";"0,100";"0,100";"	";"	";"19.00";"5.00";"19.00";"";"";"";"1,00";"Produto";"Própria";"";"";"";"Grupo:MDK-LADYLU";"0,00";"	";"0";"";"LADY LU";"";"1";"Sobressaia-se com a nossa Pulseira Feminina e Masculina Caveira 66MM LadyLu, com medida interna de 60mm. A peça está pronta para venda, conforme foto<br /><br />Cores: Niquel e Grafite<br />Largura interna total: 66mm";"0";"	https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P66-CAVEIRA/pulseira_feminina_e_masculina_caveira_niquel_66mm_ladylu-1.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P66-CAVEIRA/pulseira_feminina_e_masculina_caveira_grafite_66mm_ladylu-1.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P66-CAVEIRA/pulseira_feminina_e_masculina_caveira_insp_66mm_ladylu-1.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P66-CAVEIRA/pulseira_feminina_e_masculina_caveira_insp_66mm_ladylu-2.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P66-CAVEIRA/pulseira_feminina_e_masculina_caveira_insp_66mm_ladylu-3.jpg";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Metros";"0,00";"0,0000";"0,0000";"0,0000";"";""
"15887545537";"LADYLU-P66-CAVEIRA-NIQUEL	";"Pulseira Feminina e Masculina Caveira Niquel 66MM LadyLu";"UN";"7117";"0";"26,64";"0,00";"";"Ativo";"500,00";"26,64";"	";"";"";"0,00";"0,00";"0,100";"0,100";"	";"	";"19.00";"5.00";"19.00";"";"";"";"1,00";"Produto";"Própria";"";"";"";"Grupo:MDK-LADYLU";"0,00";"	";"0";"";"LADY LU";"";"1";"Sobressaia-se com a nossa Pulseira Feminina e Masculina Caveira 66MM LadyLu, com medida interna de 60mm. A peça está pronta para venda, conforme foto<br /><br />Cores: Niquel e Grafite<br />Largura interna total: 66mm";"0";"	https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P66-CAVEIRA/pulseira_feminina_e_masculina_caveira_niquel_66mm_ladylu-1.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P66-CAVEIRA/pulseira_feminina_e_masculina_caveira_niquel_66mm_ladylu-2.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P66-CAVEIRA/pulseira_feminina_e_masculina_caveira_insp_66mm_ladylu-1.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P66-CAVEIRA/pulseira_feminina_e_masculina_caveira_insp_66mm_ladylu-2.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P66-CAVEIRA/pulseira_feminina_e_masculina_caveira_insp_66mm_ladylu-3.jpg";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Metros";"0,00";"0,0000";"0,0000";"0,0000";"";""
"15887545561";"LADYLU-P66-CAVEIRA-V-NIQUEL	";"Cor:Metálico;Tamanho:Único";"UN";"7117";"0";"26,64";"0,00";"";"Ativo";"500,00";"26,64";"	";"";"";"0,00";"0,00";"0,100";"0,100";"	";"	";"19.00";"5.00";"19.00";"";"";"";"1,00";"Produto";"Própria";"";"";"";"Grupo:MDK-LADYLU";"0,00";"	LADYLU-P66-CAVEIRA";"0";"";"LADY LU";"";"1";"Sobressaia-se com a nossa Pulseira Feminina e Masculina Caveira 66MM LadyLu, com medida interna de 60mm. A peça está pronta para venda, conforme foto<br /><br />Cores: Niquel e Grafite<br />Largura interna total: 66mm";"0";"	https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P66-CAVEIRA/pulseira_feminina_e_masculina_caveira_niquel_66mm_ladylu-1.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P66-CAVEIRA/pulseira_feminina_e_masculina_caveira_niquel_66mm_ladylu-2.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P66-CAVEIRA/pulseira_feminina_e_masculina_caveira_insp_66mm_ladylu-1.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P66-CAVEIRA/pulseira_feminina_e_masculina_caveira_insp_66mm_ladylu-2.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P66-CAVEIRA/pulseira_feminina_e_masculina_caveira_insp_66mm_ladylu-3.jpg";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Metros";"0,00";"0,0000";"0,0000";"0,0000";"";""
"15887545563";"LADYLU-P66-CAVEIRA-V-GRAFITE	";"Cor:Cinza;Tamanho:Único";"UN";"7117";"0";"26,64";"0,00";"";"Ativo";"500,00";"26,64";"	";"";"";"0,00";"0,00";"0,100";"0,100";"	";"	";"19.00";"5.00";"19.00";"";"";"";"1,00";"Produto";"Própria";"";"";"";"Grupo:MDK-LADYLU";"0,00";"	LADYLU-P66-CAVEIRA";"0";"";"LADY LU";"";"1";"Sobressaia-se com a nossa Pulseira Feminina e Masculina Caveira 66MM LadyLu, com medida interna de 60mm. A peça está pronta para venda, conforme foto<br /><br />Cores: Niquel e Grafite<br />Largura interna total: 66mm";"0";"	https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P66-CAVEIRA/pulseira_feminina_e_masculina_caveira_grafite_66mm_ladylu-1.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P66-CAVEIRA/pulseira_feminina_e_masculina_caveira_grafite_66mm_ladylu-2.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P66-CAVEIRA/pulseira_feminina_e_masculina_caveira_insp_66mm_ladylu-1.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P66-CAVEIRA/pulseira_feminina_e_masculina_caveira_insp_66mm_ladylu-2.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P66-CAVEIRA/pulseira_feminina_e_masculina_caveira_insp_66mm_ladylu-3.jpg";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Metros";"0,00";"0,0000";"0,0000";"0,0000";"";""
